fotograma,tipo_objeto,confianza,id_tracking,x1,y1,x2,y2,matricula_en_su_caso,conf_matricula,mx1,my1,mx2,my2,texto_OCR,texto_VLM
1,bus,0.9592351317405701,1,1396,53,1918,477,,,,,,,,
1,car,0.820157527923584,2,1318,312,1400,370,,,,,,,,
1,car,0.6505517959594727,3,1281,320,1326,344,,,,,,,,
1,car,0.6222161054611206,3,1234,315,1280,345,,,,,,,,
1,person,0.4170062243938446,4,974,304,1004,376,,,,,,,,
2,bus,0.9582386612892151,1,1394,57,1918,474,,,,,,,,git 2,car,0.806678056716919,2,1319,312,1398,370,,,,,,,,
2,car,0.634688138961792,3,1281,319,1325,344,,,,,,,,
2,car,0.6325200200080872,3,1231,315,1280,344,,,,,,,,
2,person,0.4871627986431122,4,977,300,1007,377,,,,,,,,
3,bus,0.9591450691223145,1,1392,62,1918,472,,,,,,,,
3,car,0.790902316570282,2,1319,312,1397,370,,,,,,,,
3,car,0.6724963784217834,3,1230,315,1278,344,,,,,,,,
3,car,0.6169842481613159,3,1281,320,1324,344,,,,,,,,
3,person,0.5537294149398804,4,975,298,1006,375,,,,,,,,
4,bus,0.9505043625831604,1,1390,66,1919,473,,,,,,,,
4,car,0.8242887854576111,2,1317,312,1397,370,,,,,,,,
4,car,0.7093281149864197,3,1230,314,1276,345,,,,,,,,
4,person,0.6484283208847046,4,977,297,1008,376,,,,,,,,
4,car,0.5959117412567139,5,1283,320,1324,344,,,,,,,,
4,car,0.3793885111808777,3,1276,320,1317,342,,,,,,,,
5,bus,0.9476578831672668,1,1389,71,1918,467,,,,,,,,
5,car,0.8388326168060303,2,1316,311,1394,370,,,,,,,,
5,car,0.6312487721443176,3,1232,314,1276,345,,,,,,,,
5,car,0.600009560585022,3,1283,320,1323,344,,,,,,,,
5,motorcycle,0.28153908252716064,4,984,335,1007,377,,,,,,,,
5,person,0.26543164253234863,4,979,306,1008,375,,,,,,,,
5,car,0.2550444006919861,3,1280,317,1326,349,,,,,,,,
5,plate,0.7918256521224976,6,1837,405,1907,420,plate,0.7918256521224976,1837,405,1907,420,OCR_ERROR,VLM-Simulado
6,bus,0.9527706503868103,1,1388,75,1918,465,,,,,,,,
6,car,0.8342320919036865,2,1316,311,1393,370,,,,,,,,
6,car,0.6626384854316711,3,1232,315,1276,344,,,,,,,,
6,person,0.5816609859466553,4,982,297,1010,375,,,,,,,,
6,car,0.5394049882888794,3,1282,320,1322,344,,,,,,,,
6,plate,0.8428750038146973,6,1822,404,1886,419,plate,0.8428750038146973,1822,404,1886,419,OCR_ERROR,VLM-Simulado
7,bus,0.9554378986358643,1,1385,81,1918,464,,,,,,,,
7,car,0.8596426844596863,2,1316,311,1392,369,,,,,,,,
7,car,0.6307051181793213,3,1231,314,1275,344,,,,,,,,
