epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,302.374,2.02628,4.78853,1.99851,0.93971,0.1,0.13747,0.12082,0.7822,3.47998,0.93103,0.00014,0.00014,0.00014
2,478.059,1.31882,2.40362,1.11932,0.79394,0.3,0.33964,0.22422,1.34141,6.2161,1.19214,0.00029901,0.00029901,0.00029901
3,2028.1,1.42329,2.00072,1.20719,0.58175,0.55666,0.54706,0.3501,1.48695,3.0949,1.49625,0.000456964,0.000456964,0.000456964
4,2119.82,1.37935,1.53412,1.20534,0.00134,0.05,0.00514,0.00149,nan,nan,nan,0.000613862,0.000613862,0.000613862
5,2207.25,1.36803,1.534,1.19995,0,0,0,0,nan,nan,nan,0.000769704,0.000769704,0.000769704
6,2627.41,1.43149,1.55673,1.2142,0,0,0,0,nan,nan,nan,0.00092449,0.00092449,0.00092449
7,2722.64,1.40989,1.47498,1.29499,0,0,0,0,nan,nan,nan,0.00107822,0.00107822,0.00107822
8,2821.16,1.48869,1.58774,1.23314,0,0,0,0,nan,nan,nan,0.00123089,0.00123089,0.00123089
9,3652.29,1.51808,1.2973,1.30511,0,0,0,0,nan,nan,nan,0.00138251,0.00138251,0.00138251
10,3731.18,1.6113,1.24161,1.35515,0,0,0,0,nan,nan,nan,0.00153307,0.00153307,0.00153307
11,3811.12,1.63537,1.49321,1.43726,0,0,0,0,nan,nan,nan,0.00168258,0.00168258,0.00168258
12,3996.35,1.54923,1.34892,1.33383,0,0,0,0,nan,nan,nan,0.00183103,0.00183103,0.00183103
13,4097.98,1.69839,1.65883,1.39098,0,0,0,0,nan,nan,nan,0.0019208,0.0019208,0.0019208
14,4200.71,1.63833,1.38163,1.38235,0,0,0,0,nan,nan,nan,0.0019142,0.0019142,0.0019142
15,4304.13,1.67995,1.30478,1.41278,0,0,0,0,nan,nan,nan,0.0019076,0.0019076,0.0019076
16,4409.32,1.47833,1.24849,1.24972,0,0,0,0,nan,nan,nan,0.001901,0.001901,0.001901
17,4525.15,1.47863,1.08136,1.28617,0.54902,0.1,0.08627,0.04739,nan,nan,nan,0.0018944,0.0018944,0.0018944
18,4622,1.44102,1.11244,1.29221,0,0,0,0,nan,nan,nan,0.0018878,0.0018878,0.0018878
