epoch,train_loss,train_acc,val_loss,val_acc
0,0.6384,0.7315,0.5414,0.7738
1,0.5392,0.7715,0.5950,0.7528
2,0.5201,0.7860,0.4547,0.8041
3,0.5028,0.7876,0.4582,0.8054
4,0.4893,0.7901,0.4947,0.7909
5,0.4862,0.7887,0.4479,0.8028
6,0.4797,0.7949,0.4440,0.8120
7,0.4750,0.7932,0.4393,0.8166
8,0.4710,0.7945,0.4602,0.8060
9,0.4611,0.8007,0.4343,0.8113
10,0.4548,0.8059,0.4502,0.8041
11,0.4598,0.8013,0.4449,0.8100
12,0.4293,0.8101,0.4295,0.8166
13,0.4178,0.8231,0.4266,0.8192
14,0.4130,0.8271,0.4272,0.8205
15,0.3941,0.8347,0.3803,0.8389
16,0.2941,0.8758,0.3679,0.8475
17,0.2371,0.9037,0.3671,0.8488
18,0.1752,0.9326,0.3869,0.8540
19,0.1267,0.9593,0.4041,0.8534
20,0.1019,0.9663,0.4106,0.8606
21,0.0699,0.9787,0.4525,0.8600
22,0.0553,0.9838,0.4852,0.8554
23,0.0430,0.9877,0.5096,0.8534
24,0.0339,0.9901,0.5207,0.8514
25,0.0285,0.9927,0.5870,0.8514
26,0.0261,0.9938,0.6090,0.8508
27,0.0207,0.9944,0.5695,0.8547
28,0.0191,0.9948,0.5809,0.8540
29,0.0162,0.9956,0.5804,0.8514
30,0.0133,0.9976,0.5759,0.8567
31,0.0134,0.9970,0.5964,0.8547
32,0.0106,0.9977,0.5811,0.8527
33,0.0121,0.9976,0.6043,0.8534
34,0.0124,0.9968,0.5828,0.8534
35,0.0125,0.9969,0.5929,0.8521
